text,id,created_at,clean_text,length,word_count,hashtag_count,is_retweet,date,hour
"The people have spoken. A new political party is needed in America to represent the 80% in the middle!

And exactly 80% of people agree 😂

This is fate. https://t.co/JkeOlG7Kl4",1931111047408369863,2025-06-06 22:08:46+00:00,"The people have spoken. A new political party is needed in America to represent the 80% in the middle!

And exactly 80% of people agree 😂

This is fate. https://t.co/JkeOlG7Kl4",176,30,0,False,2025-06-06,22
"@_milankovac_ Milan, thank you for your outstanding contribution to Tesla over the past decade. 

It was an honor working with you.

Enjoy the time with family.",1931106237049151880,2025-06-06 21:49:39+00:00,"@_milankovac_ Milan, thank you for your outstanding contribution to Tesla over the past decade. 

It was an honor working with you.

Enjoy the time with family.",160,26,0,False,2025-06-06,21
😇 https://t.co/TU4YQrk0SO,1931098111189065877,2025-06-06 21:17:22+00:00,😇 https://t.co/TU4YQrk0SO,25,2,0,False,2025-06-06,21
@LauraLoomer @rookisaacman 🎯,1931097270046589161,2025-06-06 21:14:01+00:00,@LauraLoomer @rookisaacman 🎯,28,3,0,False,2025-06-06,21
Congress is bankrupting America https://t.co/6Yro6Kxtfl,1931096486928130397,2025-06-06 21:10:55+00:00,Congress is bankrupting America https://t.co/6Yro6Kxtfl,55,5,0,False,2025-06-06,21
"RT @JonErlichman: Stock performance over 15 years:

Tesla: +18,800%
BYD: +548%
Tata Motors: +370%
Subaru: +345%
Toyota: +314%
Volvo: +215%…",1931064968209965310,2025-06-06 19:05:40+00:00,"RT @JonErlichman: Stock performance over 15 years:

Tesla: +18,800%
BYD: +548%
Tata Motors: +370%
Subaru: +345%
Toyota: +314%
Volvo: +215%…",139,20,0,True,2025-06-06,19
"RT @teslaownersSV: BREAKING: 𝕏 is now the #1 news app on the AppStore in Saudi Arabia.
 https://t.co/J2bIQjeDvY",1931063716218307000,2025-06-06 19:00:42+00:00,"RT @teslaownersSV: BREAKING: 𝕏 is now the #1 news app on the AppStore in Saudi Arabia.
 https://t.co/J2bIQjeDvY",111,17,0,True,2025-06-06,19
RT @DimaZeniuk: SpaceX just conducted a static fire of Booster 16 ahead of Starship Flight 10 https://t.co/nvXtqFUicF,1931061302065316243,2025-06-06 18:51:06+00:00,RT @DimaZeniuk: SpaceX just conducted a static fire of Booster 16 ahead of Starship Flight 10 https://t.co/nvXtqFUicF,117,17,0,True,2025-06-06,18
"RT @clashreport: Record-Low Births Shake Japan

Japan recorded fewer than 700,000 births in 2024 for the first time since records began in…",1931048580326047926,2025-06-06 18:00:33+00:00,"RT @clashreport: Record-Low Births Shake Japan

Japan recorded fewer than 700,000 births in 2024 for the first time since records began in…",139,22,0,True,2025-06-06,18
RT @DOGE: Great work by @usedgov and @DOGE taking action on long-running fraud in federal student aid estimated to cost taxpayers &gt; $1B/yea…,1931044769704378372,2025-06-06 17:45:24+00:00,RT @DOGE: Great work by @usedgov and @DOGE taking action on long-running fraud in federal student aid estimated to cost taxpayers &gt; $1B/yea…,143,23,0,True,2025-06-06,17
RT @johnkrausphotos: Starship at Cape Canaveral: “SpaceX would launch Starship-Super Heavy from SLC-37 up to 76 times per year. This would…,1931040199309701490,2025-06-06 17:27:15+00:00,RT @johnkrausphotos: Starship at Cape Canaveral: “SpaceX would launch Starship-Super Heavy from SLC-37 up to 76 times per year. This would…,139,21,0,True,2025-06-06,17
